emulated_table,upstream_source,source_type,src_sys_cd,months_needed,window,start_month,end_month,notes
BASEL_MORT_ACCT_DRVD_VARS,ingestion.BASEL_MORT_MTH_SNAPSHOT,ingestion,,1,P only,2026-01-31,2026-01-31,
BASEL_MORT_ACCT_DRVD_VARS,ingestion.BASEL_ACCT_DIM,ingestion,,1,P only (dimension),2026-01-31,2026-01-31,
BASEL_MORT_ACCT_DRVD_VARS,ingestion.TM_DIM,ingestion,,all,calendar (load once),,,
BASEL_MORT_ACCT_DRVD_VARS,reference.TRNST_EXCLSN_LKP,reference,,static,load once,,,
BASEL_PSNL_LOAN_ACCT_DRVD_VARS,ingestion.BASEL_PSNL_LOAN_MTH_SNAPSHOT,ingestion,,1,P only,2026-01-31,2026-01-31,
BASEL_PSNL_LOAN_ACCT_DRVD_VARS,ingestion.BASEL_ACCT_DIM,ingestion,,1,P only (dimension),2026-01-31,2026-01-31,
BASEL_PSNL_LOAN_ACCT_DRVD_VARS,reference.TRNST_EXCLSN_LKP,reference,,static,load once,,,
BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2,ingestion.BASEL_PSNL_LOAN_MTH_SNAPSHOT,ingestion,,2,P and P-1 (prev_mth),2025-12-31,2026-01-31,reads prev-month snapshot
BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2,emulated.BASEL_PSNL_LOAN_ACCT_DRVD_VARS,emulated,,1,P only,2026-01-31,2026-01-31,internal (2105)
BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2,ingestion.BASEL_PSNL_LN_SUBV_MST_SNAPSHT_NEW,ingestion,,1,P only,2026-01-31,2026-01-31,
BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2,features.PIT_STATUS_CROSS_DEFAULT_ORIG,features,SPL,1,P only,2026-01-31,2026-01-31,
BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2,reference.PSNL_LOAN_SCRTY_CD_PRPS_CD_LKP,reference,,static,load once,,,
BASEL_PSNL_LOAN_ACCT_DRVD_VARS_2,reference.PSNL_LOAN_SCRTY_CD_LKP,reference,,static,load once,,,
BASEL_REVLVNG_CR_BASE_DRVD_VARS,ingestion.BASEL_REVLVNG_CR_MTH_SNAPSHOT,ingestion,,1,P only,2026-01-31,2026-01-31,
